order_id,order_date,customer_id,city,customer_segment,product_id,product_name,category,quantity,unit_price,discount_pct,discount_amount,sales_amount,profit_amount,payment_mode,order_status,customer_rating,delivery_days
ORD00001,2025-08-15,2844,Jaipur,Loyal,47,Table C,Furniture,3,44661,15,20097.45,113885.55,25709.24,Credit Card,Delivered,4,4
ORD00002,2025-11-23,2310,Kolkata,New,5,Laptop A,Electronics,2,60456,25,30228.0,90684.0,34949.94,UPI,Delivered,5,2
ORD00003,2025-03-12,1848,Chennai,Returning,8,Laptop D,Electronics,2,46619,25,23309.5,69928.5,27428.25,Credit Card,Delivered,5,7
ORD00004,2025-10-27,2717,Chandigarh,Returning,87,Mixer C,Home & Kitchen,3,4819,20,2891.4,11565.6,4016.7,Net Banking,Delivered,4,9
ORD00005,2025-11-05,1677,Chennai,Returning,89,Storage A,Home & Kitchen,1,690,15,103.5,586.5,187.02,Credit Card,Delivered,5,3
ORD00006,2025-11-15,1206,Delhi,Returning,46,Table B,Furniture,1,18411,20,3682.2,14728.8,3991.36,Debit Card,Delivered,4,6
ORD00007,2025-04-19,3210,Chennai,New,40,Dress D,Clothing,2,2217,15,665.1,3768.9,1412.85,UPI,Delivered,2,6
ORD00008,2025-04-25,1518,Bengaluru,New,60,Bookshelf D,Furniture,4,31952,0,0.0,127808.0,31486.4,UPI,Delivered,4,2
ORD00009,2025-10-16,1671,Ahmedabad,Loyal,96,Bedding D,Home & Kitchen,2,16901,10,3380.2,30421.8,12311.61,Net Banking,Delivered,5,2
ORD00010,2025-10-24,1418,Bengaluru,Returning,19,Tablet C,Electronics,2,19892,15,5967.6,33816.4,11595.76,UPI,Delivered,5,5
ORD00011,2025-12-17,3653,Pune,New,47,Table C,Furniture,3,44661,20,26796.6,107186.4,25584.16,Credit Card,Delivered,4,7
ORD00012,2025-09-08,3523,Chennai,Returning,4,Smartphone D,Electronics,2,4934,15,1480.2,8387.8,2172.66,UPI,Delivered,5,9
ORD00013,2025-09-05,1999,Bengaluru,Loyal,26,Jeans B,Clothing,2,4145,10,829.0,7461.0,2708.18,COD,Delivered,5,7
ORD00014,2025-06-22,2132,Hyderabad,Returning,17,Tablet A,Electronics,1,54035,15,8105.25,45929.75,18037.88,Credit Card,Cancelled,5,0
ORD00015,2025-04-08,1382,Kolkata,Loyal,9,Headphones A,Electronics,1,17921,20,3584.2,14336.8,3516.75,Debit Card,Delivered,4,7
ORD00016,2025-12-21,3879,Pune,New,4,Smartphone D,Electronics,2,4934,15,1480.2,8387.8,2521.06,Credit Card,Delivered,4,5
ORD00017,2025-05-09,3415,Mumbai,New,5,Laptop A,Electronics,1,60456,0,0.0,60456.0,15079.06,UPI,Delivered,5,9
ORD00018,2025-11-02,1187,Mumbai,New,37,Dress A,Clothing,3,5220,10,1566.0,14094.0,5476.64,Credit Card,Delivered,5,9
ORD00019,2025-05-30,1756,Chandigarh,Returning,47,Table C,Furniture,2,44661,15,13398.3,75923.7,32062.68,Debit Card,Delivered,5,5
ORD00020,2025-09-02,1349,Chandigarh,Loyal,5,Laptop A,Electronics,1,60456,0,0.0,60456.0,17786.41,UPI,Shipped,5,2
ORD00021,2025-10-13,3411,Jaipur,New,79,Bath C,Beauty,2,3178,20,1271.2,5084.8,1978.32,Credit Card,Cancelled,5,0
ORD00022,2025-10-19,1983,Bengaluru,New,59,Bookshelf C,Furniture,4,44283,0,0.0,177132.0,34390.29,Debit Card,Delivered,3,2
ORD00023,2025-03-22,1292,Bengaluru,Loyal,19,Tablet C,Electronics,2,19892,15,5967.6,33816.4,12558.06,UPI,Delivered,5,5
ORD00024,2025-11-17,1293,Bengaluru,Loyal,48,Table D,Furniture,4,28588,15,17152.8,97199.2,40727.48,Debit Card,Cancelled,2,0
ORD00025,2025-11-01,3023,Hyderabad,Returning,73,Fragrance A,Beauty,4,3255,15,1953.0,11067.0,4608.57,Debit Card,Returned,4,8
ORD00026,2025-06-15,2104,Ahmedabad,Loyal,48,Table D,Furniture,1,28588,25,7147.0,21441.0,4809.03,Debit Card,Delivered,5,3
ORD00027,2025-08-29,2426,Chennai,New,30,Jacket B,Clothing,4,4480,5,896.0,17024.0,3078.36,Debit Card,Delivered,4,6
ORD00028,2025-12-10,2289,Chennai,Returning,6,Laptop B,Electronics,1,56987,25,14246.75,42740.25,13515.47,COD,Delivered,4,2
ORD00029,2025-07-26,3042,Kolkata,Returning,81,Cookware A,Home & Kitchen,5,14927,25,18658.75,55976.25,12050.05,Credit Card,Delivered,5,1
ORD00030,2025-04-15,1981,Kolkata,Returning,13,Smartwatch A,Electronics,4,50099,15,30059.4,170336.6,36140.56,UPI,Returned,5,10
ORD00031,2025-01-08,2196,Delhi,Loyal,52,Sofa D,Furniture,1,40048,0,0.0,40048.0,13031.98,Debit Card,Delivered,4,5
ORD00032,2025-08-01,1286,Bengaluru,Loyal,76,Fragrance D,Beauty,1,3453,20,690.6,2762.4,1135.2,Net Banking,Delivered,4,7
ORD00033,2025-06-24,1609,Hyderabad,Returning,85,Mixer A,Home & Kitchen,1,4867,0,0.0,4867.0,1818.47,COD,Delivered,4,8
ORD00034,2025-06-26,2683,Bengaluru,Returning,37,Dress A,Clothing,2,5220,15,1566.0,8874.0,1758.2,Net Banking,Delivered,2,8
ORD00035,2025-12-28,3418,Mumbai,Returning,84,Cookware D,Home & Kitchen,1,14749,25,3687.25,11061.75,2611.17,Credit Card,Delivered,4,2
ORD00036,2025-08-14,3553,Mumbai,New,6,Laptop B,Electronics,1,56987,25,14246.75,42740.25,17569.58,UPI,Shipped,5,2
ORD00037,2025-06-18,3586,Kolkata,New,95,Bedding C,Home & Kitchen,2,15629,10,3125.8,28132.2,7898.52,COD,Delivered,5,5
ORD00038,2025-04-27,1189,Delhi,Loyal,80,Bath D,Beauty,5,1189,25,1486.25,4458.75,1159.05,Credit Card,Delivered,4,1
ORD00039,2025-05-31,3539,Mumbai,Loyal,32,Jacket D,Clothing,1,1134,20,226.8,907.2,307.31,UPI,Delivered,5,8
ORD00040,2025-10-26,3239,Chandigarh,New,13,Smartwatch A,Electronics,2,50099,15,15029.7,85168.3,32454.38,COD,Delivered,3,8
ORD00041,2025-06-26,2980,Kolkata,Returning,89,Storage A,Home & Kitchen,2,690,15,207.0,1173.0,309.22,COD,Delivered,3,7
ORD00042,2025-10-20,1201,Chennai,Returning,31,Jacket C,Clothing,5,895,10,447.5,4027.5,1788.52,UPI,Delivered,5,8
ORD00043,2025-05-27,3701,Bengaluru,Returning,73,Fragrance A,Beauty,2,3255,10,651.0,5859.0,2290.1,Debit Card,Delivered,5,3
ORD00044,2025-11-18,2209,Chandigarh,New,12,Headphones D,Electronics,2,51264,10,10252.8,92275.2,21876.16,Debit Card,Delivered,4,7
ORD00045,2025-03-31,2974,Hyderabad,Loyal,1,Smartphone A,Electronics,2,16027,10,3205.4,28848.6,8847.0,COD,Delivered,5,5
ORD00046,2025-06-23,3283,Bengaluru,Loyal,68,Makeup D,Beauty,4,1312,5,262.4,4985.6,1228.35,COD,Delivered,4,7
ORD00047,2025-01-08,1444,Hyderabad,Loyal,14,Smartwatch B,Electronics,1,10799,25,2699.75,8099.25,2006.73,Debit Card,Shipped,5,8
ORD00048,2025-01-13,3660,Delhi,Returning,44,Chair D,Furniture,2,24185,20,9674.0,38696.0,15100.37,Debit Card,Delivered,4,3
ORD00049,2025-01-24,3853,Jaipur,Returning,82,Cookware B,Home & Kitchen,5,4487,0,0.0,22435.0,9507.01,UPI,Delivered,5,7
ORD00050,2025-10-28,3828,Kolkata,New,63,Skincare C,Beauty,3,5380,25,4035.0,12105.0,5123.61,Debit Card,Cancelled,4,0
ORD00051,2025-08-16,2863,Pune,Loyal,84,Cookware D,Home & Kitchen,1,14749,25,3687.25,11061.75,3880.68,UPI,Delivered,3,4
ORD00052,2025-11-25,3271,Mumbai,Loyal,49,Sofa A,Furniture,1,12788,10,1278.8,11509.2,4422.25,COD,Delivered,3,4
ORD00053,2025-04-30,1451,Mumbai,Loyal,36,Sneakers D,Clothing,3,1477,20,886.2,3544.8,1592.45,Net Banking,Delivered,5,1
ORD00054,2025-03-09,1466,Mumbai,Returning,10,Headphones B,Electronics,3,82481,20,49488.6,197954.4,71774.64,UPI,Delivered,5,8
ORD00055,2025-08-18,3136,Ahmedabad,Loyal,64,Skincare D,Beauty,2,1329,15,398.7,2259.3,709.34,UPI,Shipped,4,1
ORD00056,2025-02-01,1270,Kolkata,Returning,87,Mixer C,Home & Kitchen,1,4819,25,1204.75,3614.25,1521.06,UPI,Delivered,3,9
ORD00057,2025-12-31,3667,Chennai,Loyal,22,T-Shirt B,Clothing,2,5692,15,1707.6,9676.4,3033.56,UPI,Delivered,5,9
ORD00058,2025-04-21,3725,Chennai,Returning,26,Jeans B,Clothing,1,4145,10,414.5,3730.5,845.32,Credit Card,Delivered,4,3
ORD00059,2025-12-18,1246,Delhi,New,89,Storage A,Home & Kitchen,1,690,0,0.0,690.0,293.13,COD,Delivered,5,9
ORD00060,2025-10-15,3460,Chennai,Loyal,21,T-Shirt A,Clothing,1,4602,25,1150.5,3451.5,676.13,COD,Delivered,4,2
ORD00061,2025-10-23,3352,Pune,Loyal,28,Jeans D,Clothing,2,5673,5,567.3,10778.7,2384.63,COD,Delivered,4,7
ORD00062,2025-10-15,1119,Chandigarh,Returning,83,Cookware C,Home & Kitchen,2,14888,25,7444.0,22332.0,6174.16,Debit Card,Delivered,3,5
